Iteration, FED
771, -109.37407431435605
772, -109.37407877930372
773, -109.37408323513272
774, -109.3740876818814
775, -109.37409211959019
776, -109.3740965482971
777, -109.37410096803771
778, -109.37410537885262
779, -109.37410978077858
780, -109.37411417385364
781, -109.3741185581139
782, -109.37412293359766
783, -109.3741273003406
784, -109.37413165838126
785, -109.37413600775504
786, -109.37414034849819
787, -109.37414468064634
788, -109.37414900423731
789, -109.37415331930582
790, -109.37415762588664
791, -109.37416192401615
792, -109.37416621372974
793, -109.3741704950624
794, -109.37417476804868
795, -109.37417903272295
796, -109.37418328912061
797, -109.37418753727576
798, -109.37419177722161
799, -109.37419600899366
800, -109.37420023262483
801, -109.37420444814803
802, -109.37420865559834
803, -109.37421285500865
804, -109.37421704641132
805, -109.37422122983945
806, -109.37422540532675
807, -109.3742295729051
808, -109.37423373260698
809, -109.37423788446495
810, -109.37424202851076
811, -109.37424616477723
812, -109.37425029329542
813, -109.3742544140966
814, -109.37425852721343
815, -109.37426263267655
816, -109.37426673051776
817, -109.37427082076697
818, -109.37427490345601
819, -109.37427897861478
820, -109.37428304627471
821, -109.37428710646576
822, -109.37429115921776
823, -109.37429520456217
824, -109.3742992425274
825, -109.37430327314476
826, -109.3743072964428
827, -109.37431131245074
828, -109.37431532119913
829, -109.37431932271689
830, -109.37432331703279
831, -109.37432730417555
832, -109.37433128417418
833, -109.37433525705727
834, -109.37433922285406
835, -109.37434318159225
836, -109.37434713329921
837, -109.37435107800508
838, -109.37435501573678
839, -109.37435894652182
840, -109.37436287038793
841, -109.37436678736293
842, -109.37437069747504
843, -109.37437460074986
844, -109.37437849721553
845, -109.374382386899
846, -109.37438626982751
847, -109.37439014602764
848, -109.37439401552487
849, -109.37439787834745
850, -109.37440173452083
851, -109.37440558407206
852, -109.37440942702506
853, -109.37441326340841
854, -109.37441709324699
855, -109.37442091656627
856, -109.37442473339296
857, -109.3744285437506
858, -109.37443234766702
859, -109.37443614516518
860, -109.37443993627103
861, -109.37444372101085
862, -109.37444749940715
863, -109.37445127148702
864, -109.37445503727459
865, -109.37445879679305
866, -109.3744625500687
867, -109.37446629712446
868, -109.37447003798448
869, -109.3744737726739
870, -109.37447750121724
871, -109.37448122363604
872, -109.37448493995606
873, -109.37448865020013
874, -109.3744923543917
875, -109.3744960525544
876, -109.3744997447117
877, -109.37450343088626
878, -109.37450711110182
879, -109.37451078538137
880, -109.37451445374688
881, -109.37451811622243
882, -109.37452177283055
883, -109.37452542359198
884, -109.37452906853127
885, -109.37453270767023
886, -109.37453634103018
887, -109.37453996863495
888, -109.37454359050429
889, -109.3745472066626
890, -109.3745508171297
891, -109.3745544219296
892, -109.37455802108147
893, -109.37456161460847
894, -109.37456520253147
895, -109.37456878487183
896, -109.37457236165024
897, -109.37457593288948
898, -109.37457949860884
899, -109.37458305883086
900, -109.37458661357552
901, -109.3745901628633
902, -109.37459370671536
903, -109.3745972451523
904, -109.37460077819448
905, -109.37460430586233
906, -109.37460782817635
907, -109.37461134515618
908, -109.37461485682246
909, -109.37461836319501
910, -109.37462186429332
911, -109.37462536013885
912, -109.37462885074993
913, -109.37463233614642
914, -109.37463581634842
915, -109.37463929137397
916, -109.37464276124473
917, -109.37464622597835
918, -109.37464968559505
919, -109.37465314011315
920, -109.37465658955236
921, -109.37466003393152
922, -109.37466347326976
923, -109.3746669075848
924, -109.37467033689597
925, -109.37467376122218
926, -109.37467718058252
927, -109.37468059499469
928, -109.37468400447644
929, -109.37468740904788
930, -109.37469080872575
931, -109.37469420352913
932, -109.37469759347586
933, -109.3747009785834
934, -109.37470435886954
935, -109.37470773435335
936, -109.3747111050514
937, -109.37471447098203
938, -109.3747178321632
939, -109.3747211886115
940, -109.37472454034443
941, -109.37472788738039
942, -109.37473122973599
943, -109.37473456742855
944, -109.3747379004743
945, -109.37474122889279
946, -109.37474455269842
947, -109.3747478719087
948, -109.37475118654174
949, -109.37475449661333
950, -109.37475780214011
951, -109.37476110313948
952, -109.3747643996271
953, -109.37476769162069
954, -109.37477097913555
955, -109.3747742621873
956, -109.37477754079458
957, -109.3747808149718
958, -109.37478408473577
959, -109.37478735010198
960, -109.3747906110877
961, -109.37479386770755
962, -109.37479711997824
963, -109.37480036791467
964, -109.37480361153428
965, -109.37480685085089
966, -109.37481008588092
967, -109.37481331663976
968, -109.37481654314357
969, -109.37481976540663
970, -109.37482298344523
971, -109.3748261972731
972, -109.37482940690778
973, -109.37483261236243
974, -109.37483581365352
975, -109.37483901079585
976, -109.37484220380345
977, -109.37484539269195
978, -109.3748485774758
979, -109.37485175816992
980, -109.37485493478968
981, -109.37485810734908
982, -109.37486127586236
983, -109.37486444034444
984, -109.3748676008106
985, -109.3748707572736
986, -109.37487390974883
987, -109.37487705825048
988, -109.37488020279308
989, -109.3748833433902
990, -109.37488648005576
991, -109.37488961280467
992, -109.37489274165105
993, -109.37489586660665
994, -109.37489898768817
995, -109.37490210490746
996, -109.37490521828035
997, -109.37490832781849
998, -109.37491143353607
999, -109.37491453544727
1000, -109.37491763356518
1001, -109.37492072790351
1002, -109.37492381847525
1003, -109.37492690529383
1004, -109.37492998837324
1005, -109.37493306772657
1006, -109.37493614336626
1007, -109.37493921530664
1008, -109.37494228355915
1009, -109.3749453481389
1010, -109.3749484090575
1011, -109.37495146632736
1012, -109.37495451996314
1013, -109.3749575699774
1014, -109.37496061638159
1015, -109.3749636591891
1016, -109.37496669841256
1017, -109.37496973406506
1018, -109.37497276615937
1019, -109.37497579470647
1020, -109.37497881972052
1021, -109.37498184121297
1022, -109.37498485919699
1023, -109.37498787368456
1024, -109.37499088468722
1025, -109.3749938922184
1026, -109.37499689628929
1027, -109.37499989691298
1028, -109.37500289410097
1029, -109.37500588786543
1030, -109.3750088782178
1031, -109.37501186517144
1032, -109.37501484873664
1033, -109.37501782892603
1034, -109.37502080575184
1035, -109.37502377922499
1036, -109.37502674935762
1037, -109.3750297161611
1038, -109.37503267964783
1039, -109.3750356398281
1040, -109.37503859671403
1041, -109.37504155031804
1042, -109.37504450065015
1043, -109.37504744772278
1044, -109.37505039154601
1045, -109.37505333213295
1046, -109.37505626949324
1047, -109.37505920363948
1048, -109.37506213458096
1049, -109.37506506233093
1050, -109.37506798689861
1051, -109.37507090829632
1052, -109.3750738265349
1053, -109.37507674162455
1054, -109.37507965357729
1055, -109.3750825624029
1056, -109.37508546811195
1057, -109.3750883707175
1058, -109.37509127022754
1059, -109.37509416665455
1060, -109.37509706000853
1061, -109.37509995029976
1062, -109.37510283753917
1063, -109.3751057217378
1064, -109.3751086029059
1065, -109.37511148105375
1066, -109.37511435619149
1067, -109.37511722832956
1068, -109.3751200974786
1069, -109.37512296364865
1070, -109.37512582685052
1071, -109.37512868709285
1072, -109.37513154438868
1073, -109.37513439874492
1074, -109.37513725017469
1075, -109.37514009868515
1076, -109.37514294428853
1077, -109.37514578699371
1078, -109.37514862681054
1079, -109.37515146374989
1080, -109.37515429782113
1081, -109.37515712903439
1082, -109.37515995739788
1083, -109.37516278292341
1084, -109.37516560562005
1085, -109.37516842549674
1086, -109.37517124256324
1087, -109.37517405683015
1088, -109.375176868307
1089, -109.3751796770023
1090, -109.37518248292652
1091, -109.37518528608857
1092, -109.37518808649813
1093, -109.37519088416434
1094, -109.37519367909637
1095, -109.37519647130412
1096, -109.37519926079707
1097, -109.37520204758319
1098, -109.37520483167383
1099, -109.37520761307637
1100, -109.37521039179997
1101, -109.37521316785406
1102, -109.37521594124932
1103, -109.37521871199228
1104, -109.37522148009384
1105, -109.37522424556158
1106, -109.37522700840552
1107, -109.37522976863444
1108, -109.37523252625707
1109, -109.37523528128175
1110, -109.37523803371806
1111, -109.37524078357443
1112, -109.37524353085952
1113, -109.37524627558145
1114, -109.37524901775109
1115, -109.3752517573751
1116, -109.37525449446224
1117, -109.37525722902178
1118, -109.37525996106207
1119, -109.37526269059202
1120, -109.37526541761916
1121, -109.37526814215252
1122, -109.37527086420077
1123, -109.3752735837719
1124, -109.37527630087483
1125, -109.3752790155172
1126, -109.37528172770813
1127, -109.37528443745532
1128, -109.37528714476728
1129, -109.37528984965131
1130, -109.3752925521171
1131, -109.37529525217188
1132, -109.37529794982437
1133, -109.37530064508195
1134, -109.37530333795411
1135, -109.37530602844654
1136, -109.37530871656946
1137, -109.37531140232998
1138, -109.3753140857362
1139, -109.37531676679578
1140, -109.3753194455163
1141, -109.37532212190703
1142, -109.37532479597438
1143, -109.37532746772659
1144, -109.37533013717203
1145, -109.37533280431767
1146, -109.37533546917204
1147, -109.37533813174244
1148, -109.37534079203634
1149, -109.37534345006169
1150, -109.3753461058258
1151, -109.37534875933623
1152, -109.37535141060097
1153, -109.37535405962738
1154, -109.37535670642383
1155, -109.3753593509959
1156, -109.3753619933526
1157, -109.3753646335011
1158, -109.37536727144901
1159, -109.37536990720271
1160, -109.37537254077033
1161, -109.3753751721591
1162, -109.37537780137615
1163, -109.37538042842927
1164, -109.3753830533253
