x, y, Potential, x-field, y-field, z-field
 38, 75, 0.07616504419429802, -0.4086963377254881, 0.9126522854931729, 0.005754069330638662
 38, 76, 0.07195267741288447, -0.39144863480085706, 0.9201820240152162, 0.0057453452294177225
 38, 77, 0.06787647295977114, -0.37458180655044154, 0.9271762357382144, 0.005718223825873811
 38, 78, 0.06393024664110611, -0.3580209174542285, 0.9336963384468004, 0.00567188119326183
 38, 79, 0.060107645370795444, -0.3416950492789073, 0.9397941642226376, 0.005605550049655588
 38, 80, 0.0564022235347797, -0.32553746919881943, 0.9455130363890996, 0.00551852932337867
 38, 81, 0.05280750062021945, -0.3094858022854244, 0.9508886727494732, 0.0054101959754236945
 38, 82, 0.04931700411728375, -0.2934822267094819, 0.955949948483198, 0.005280018997634291
 38, 83, 0.04592430085233029, -0.2774737017077169, 0.9607195495205654, 0.005127575413258074
 38, 84, 0.04262301923909254, -0.2614122312485269, 0.9652145447639738, 0.004952567994620477
 38, 85, 0.039406864403891406, -0.24525515997727915, 0.9694469031155689, 0.004754844282611275
 38, 86, 0.036269627722893286, -0.22896549219665818, 0.9734239787736473, 0.0045344163487483985
 38, 87, 0.03320519198054918, -0.21251221926850478, 0.9771489854960305, 0.0042914805898833334
 38, 88, 0.030207533099744156, -0.19587063598755525, 0.9806214773118845, 0.004026436698598413
 38, 89, 0.027270719190898206, -0.17902262238207717, 0.9838378493366485, 0.003739904822616036
 38, 90, 0.024388907507459215, -0.1619568643555107, 0.9867918678147828, 0.0034327398303811564
 38, 91, 0.021556339769611816, -0.14466898497638503, 0.9894752332887162, 0.0031060415552757476
 38, 92, 0.01876733621928943, -0.12716155844178945, 0.9918781750046629, 0.0027611599147522124
 38, 93, 0.016016288692008048, -0.10944398111571965, 0.9939900685956036, 0.0023996939074666115
 38, 94, 0.013297652930177171, -0.09153217877536769, 0.9958000631464086, 0.002023483689764139
 38, 95, 0.010605940314910235, -0.07344813627436632, 0.9972976984713651, 0.0016345952221811634
 38, 96, 0.007935709156255126, -0.05521924497364027, 0.9984734893951901, 0.0012352973464763415
 38, 97, 0.005281555653110198, -0.03687747392961132, 0.9993194515670509, 0.000828031581120369
