x, y, Potential, Ex, Ey, Ez
 17, 77, 0.00048790499149871413, -0.7987254075487744, 0.6016934138161193, 0.00166105579329051
 17, 78, 0.00046346180711728265, -0.7836859093403474, 0.6211550853008353, 0.0016599717782942362
 17, 79, 0.0004392134417108086, -0.7676679279080615, 0.6408457010475864, 0.0016552674016220845
 17, 80, 0.0004151860891895349, -0.7505435213129252, 0.6608189706527263, 0.0016464023401502078
 17, 81, 0.00039139101966833363, -0.7321686025363059, 0.6811214804339155, 0.0016328966727999395
 17, 82, 0.0003678440111884914, -0.7123821791950395, 0.7017898726409375, 0.0016141325668876001
 17, 83, 0.0003445475753006934, -0.6910062952888755, 0.722846991557351, 0.0015895495053994423
 17, 84, 0.00032150863734807175, -0.667846714896474, 0.7442972098693957, 0.0015584552031756215
 17, 85, 0.0002987225038913789, -0.642694200735565, 0.7661213045428709, 0.001520219195730676
 17, 86, 0.00027618870742622374, -0.6153280259906445, 0.7882697808878169, 0.0014740995657537598
 17, 87, 0.000253896771689873, -0.5855201985810191, 0.8106565747914377, 0.001419436880683425
 17, 88, 0.00023184015209605984, -0.5530437983951532, 0.8331510785333537, 0.0013555055775328474
 17, 89, 0.00021000385441980233, -0.5176822756100861, 0.8555719833747635, 0.001281711097016878
 17, 90, 0.00018837641541271554, -0.47924464515590487, 0.8776805433312695, 0.001197475310180619
 17, 91, 0.00016693942735447435, -0.4375813782690501, 0.8991781369809333, 0.0011024371440107655
 17, 92, 0.00014567751475503513, -0.39260656088448787, 0.9197059832278568, 0.0009963761018014566
 17, 93, 0.00012456981235981689, -0.3443185059049127, 0.9388524874209967, 0.0008794059447188303
 17, 94, 0.00010359790404930503, -0.2928235626489452, 0.9561661967288889, 0.0007519245912586339
 17, 95, 8.273929561844207e-05, -0.23835271785126685, 0.9711784614328359, 0.0006147697651101208
 17, 96, 6.197329137181082e-05, -0.18127412924508546, 0.9834324938470392, 0.000469161197344086
 17, 97, 4.1276495805139094e-05, -0.12209096556449543, 0.9925188641957847, 0.00031676969305347914
 17, 98, 2.0626612289006316e-05, -0.06142781000462255, 0.9981115161554335, 0.00015961183513317785
 18, 1, 2.102106764102775e-05, -0.057669121799445854, -0.9983357380988731, 0.00016255909345877926
 18, 2, 4.206830745270762e-05, -0.11468728911735973, -0.9934015912637093, 0.0003227842025284911
 18, 3, 6.31683076236146e-05, -0.17044207139173936, -0.9853675818562171, 0.00047846266767937595
 18, 4, 8.434629644039619e-05, -0.2243922108770127, -0.9744987130637187, 0.0006276423203805298
 18, 5, 0.0001056287398403211, -0.27609295452816085, -0.9611306308733514, 0.0007686721696266254
 18, 6, 0.00012703937195101655, -0.32520816401990593, -0.9456420250275683, 0.0009003091479576395
 18, 7, 0.0001486039549365255, -0.3715144875193549, -0.9284265947218583, 0.0010216537600559227
 18, 8, 0.00017034412313661246, -0.4148931080671975, -0.9098694559952023, 0.0011322214162771739
 18, 9, 0.00019228427717063698, -0.45531866557242956, -0.8903276899322867, 0.0012317959165234094
 18, 10, 0.0002144432575434444, -0.4928408705311545, -0.8701184589628819, 0.0013204946624478517
 18, 11, 0.00023684333636775576, -0.5275687851906911, -0.849511165828834, 0.001398579477092457
 18, 12, 0.00025949974513083757, -0.5596523270719147, -0.8287262045157346, 0.0014665442152273583
 18, 13, 0.0002824317192120545, -0.5892690931644147, -0.8079353999458116, 0.0015249116662575193
 18, 14, 0.0003056499136390172, -0.6166106946243647, -0.7872666464923884, 0.0015743555783556272
 18, 15, 0.0003291694481425327, -0.6418743496681691, -0.766808130767344, 0.0016154959476397716
 18, 16, 0.00035299525449383653, -0.665254709401149, -0.746614661148202, 0.0016490537130527214
 18, 17, 0.00037713706360823743, -0.6869395332624912, -0.7267126459953379, 0.001675646611076701
 18, 18, 0.00040159273890161046, -0.707105764256458, -0.7071057642564549, 0.001695968922239757
 18, 19, 0.00042636514251877527, -0.7259177763357988, -0.6877793657074538, 0.0017105866660497003
 18, 20, 0.00045144352167232296, -0.7435261730170523, -0.6687046217701205, 0.0017201342670492721
 18, 21, 0.00047682218915237764, -0.7600673078026123, -0.6498420666688776, 0.001725107883885585
 18, 22, 0.0005024800445154469, -0.7756636215579382, -0.6311441728049159, 0.0017260724266886884
 18, 23, 0.000528401005412474, -0.7904236073346296, -0.6125582018703941, 0.0017234527614334006
 18, 24, 0.0005545517634816259, -0.8044429243341681, -0.5940274663988534, 0.0017177463290177439
 18, 25, 0.0005809039083980998, -0.8178043801623581, -0.5754937654198408, 0.0017093127726540299
 18, 26, 0.0006074100398671805, -0.8305793814264605, -0.5568976620036326, 0.0016985888631474465
 18, 27, 0.0006340275359332863, -0.8428277704359178, -0.5381807384132168, 0.0016858775236262488
 18, 28, 0.0006606931674159041, -0.8545993789799154, -0.5192851888172529, 0.001671562793558494
 18, 29, 0.0006873484752944134, -0.8659337068455243, -0.5001560489948689, 0.001655899336338956
 18, 30, 0.0007139130609055651, -0.8768614677651166, -0.4807403449756621, 0.0016392258803341344
 18, 31, 0.0007403115519405788, -0.8874041732881124, -0.46098937421337177, 0.0016217562103297677
 18, 32, 0.00076644576740401, -0.897575630466565, -0.44085759089542753, 0.0016037900199760992
 18, 33, 0.0007922232634113062, -0.907381526675856, -0.4203049502652483, 0.001585506203067887
 18, 34, 0.0008175285903894488, -0.9168208784037976, -0.3992956559991177, 0.001567170419387073
 18, 35, 0.0008422534112155491, -0.9258857180876098, -0.37780052653919255, 0.0015489312766087436
 18, 36, 0.0008662670708864075, -0.934562512952106, -0.3557956792170762, 0.001531024201020632
 18, 37, 0.0008894482611485769, -0.9428320418437581, -0.3332648345924784, 0.0015135708698442148
 18, 38, 0.0009116550999822754, -0.9506708060680417, -0.31019796605057004, 0.001496779218585957
 18, 39, 0.0009327582692939566, -0.9580511552475649, -0.28659342511527347, 0.0014807462653749842
 18, 40, 0.0009526107450788577, -0.9649426991937919, -0.2624565471275028, 0.0014656542935551442
 18, 41, 0.0009710822529146431, -0.9713126984053586, -0.2378014609725365, 0.0014515770142622879
 18, 42, 0.0009880286988811, -0.9771274586293032, -0.21264961748166755, 0.0014386721446577498
 18, 43, 0.0010033276767483152, -0.9823529475438738, -0.1870311475381621, 0.0014269906872877507
 18, 44, 0.001016847537054607, -0.9869561172393232, -0.16098327770460824, 0.0014166662840166772
 18, 45, 0.00102848356043061, -0.9909056526032509, -0.13455112761663726, 0.001407727252195246
 18, 46, 0.0010381264959365686, -0.994173132290381, -0.10778600205410059, 0.0014002832306682573
 18, 47, 0.001045698921893979, -0.9967337699712542, -0.08074557335387826, 0.0013943395011720042
 18, 48, 0.0010511230238544273, -0.9985673059129059, -0.05349208832276261, 0.001389981550569541
 18, 49, 0.0010543566373417746, -0.9996585844745496, -0.02609195636869989, 0.0013871911165088265
 18, 50, 0.0010553600561948743, -0.9999980789207615, 0.0013860293622972926, 0.0013860293622986264
 18, 51, 0.0010541313170478123, -0.9995821669385789, 0.028871599949468547, 0.001386454013953338
 18, 52, 0.0010506719426022293, -0.9984132347753251, 0.05629462397078377, 0.001388501875938426
 18, 53, 0.0010450211805077027, -0.9964995650598598, 0.08358635579662799, 0.0013921063715613704
 18, 54, 0.0010372207697325248, -0.9938550337071259, 0.11068071007755988, 0.001397280120293532
 18, 55, 0.001027348045746136, -0.9904985957655511, 0.13751567460096836, 0.001403932160746664
 18, 56, 0.001015480017130253, -0.9864536596164156, 0.1640340926167156, 0.001412051270901771
 18, 57, 0.0010017254328454355, -0.9817472242206869, 0.19018508619170996, 0.0014215221518961237
 18, 58, 0.000986188608793407, -0.9764090672570653, 0.21592425029610288, 0.0014323101108668515
 18, 59, 0.0009690006670296312, -0.9704706308479238, 0.24121498446375494, 0.00144427552199572
